TIPO DE VOTO,CANTIDAD,AÑO
VOTANTES REGISTRADOS,6.567.389,1.983
EMITIDOS,5.745.533,1.983
POSITIVOS ,5.396.389,1.983
EN BLANCO,349.144,1.983
ANULADOS                                                                                                                  ,13.682,1.983
EMITIDOS,6.178.817,1.987
POSITIVOS,6.042.659,1.987
EN BLANCO,105.170,1.987
ANULADOS,30.988,1.987
EMITIDOS,6.317.670,1.991
POSITIVOS,5.990.226,1.991
EN BLANCO,278.374,1.991
ANULADOS,49.070,1.991
EMITIDOS,6.894.414,1.995
POSITIVOS,6.462.086,1.995
EN BLANCO,401.758,1.995
ANULADOS,30.570,1.995
VOTANTES REGISTRADOS,9.035.493,1.999
EMITIDOS,7.742.506,1.999
POSITIVOS,7.244.842,1.999
EN BLANCO,446.219,1.999
ANULADOS,51.445,1.999
VOTANTES REGISTRADOS,9.811.284,2.003
EMITIDOS,7.018.000,2.003
POSITIVOS,5.916.669,2.003
EN BLANCO,1.014.755,2.003
ANULADOS,86.556,2.003
POSITIVOS,6.999.914,2.007
EN BLANCO,913.214,2.007
EMITIDOS,7.979.942,2.007
ANULADOS,66.814,2.007
VOTANTES REGISTRADOS,11.152.684,2.011
EMITIDOS,9.015.590,2.011
POSITIVOS,7.771.941,2.011
EN BLANCO,1.188.411,2.011
ANULADOS,55.238,2.011
VOTANTES REGISTRADOS,12.429.146,2.015
EMITIDOS,10.003.443,2.015
POSITIVOS,9.156.660,2.015
BLANCO,792.230,2.015
ANULADOS,54.553,2.015
VOTANTES REGISTRADOS,13.185.036,2.019
EMITIDOS,10.548.393,2.019
POSITIVOS,10.065.064,2.019
EN BLANCO,419.092,2.019
ANULADOS,64.237,2.019
VOTANTES REGISTRADOS,14.059.933,2.023
EMITIDOS,10.676.947,2.023
POSITIVOS,9.635.177,2.023
EN BLANCO,980.563,2.023
VOTOS NULOS,61.207,2.023
